source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,aggregate_rank,pair
B_cell,T_cell,HLA-DRA,CD4,1.7860527,0.0,0.65150183,0.5566588699083533,3.9675446885341783,0.7880772,0.958129,0.028502762369401552,0.07143475376872813,0.04996875806906484,HLA-DRA→CD4
B_cell,T_cell,BTLA,CD247,0.16594976,0.0,0.027354738,0.21709742342917823,0.43598174119304733,0.767403,0.8242184,0.3069018366751841,0.39505970219742836,0.35098076943630624,BTLA→CD247
B_cell,T_cell,CD55,ADGRE5,0.1526449,0.0,0.023136683,0.07506109098797853,0.044758671940167805,0.4155792,0.8117556,0.5105007158259922,0.20217675472325258,0.3563387352746224,CD55→ADGRE5
B_cell,T_cell,HLA-DQB1,CD4,0.3863275,0.0,0.11179262,0.35124793162210244,2.4842080194989427,0.75728655,0.9045704,0.11727163602585111,0.6405801700774865,0.3789259030516688,HLA-DQB1→CD4
B_cell,T_cell,HLA-DPA1,CD4,0.9337248,0.0,0.32285932,0.43985710265430117,-2.1635567668299034,0.74950004,0.94155,0.3069018366751841,0.4784853137724868,0.39269357522383547,HLA-DPA1→CD4
B_cell,T_cell,HLA-DPB1,CD4,0.8732604,0.0,0.2995453,0.44217166828911236,1.8005788863454921,0.7454489,0.93945324,0.1455852468995289,0.6874820140754323,0.4165336304874806,HLA-DPB1→CD4
B_cell,T_cell,HLA-DOB,CD4,0.17613396,0.0,0.030745711,0.2679413461799725,0.7537197920881853,0.8263279,0.83252424,0.2616939526069933,0.5788675202393186,0.420280736423156,HLA-DOB→CD4
B_cell,T_cell,ICAM3,ITGAL,0.15918073,0.005,0.024924153,0.0158209045352634,-0.08044118469315076,0.3500421,0.8173756,0.5936876573808713,0.29976628700292557,0.4467269721918984,ICAM3→ITGAL
B_cell,T_cell,HLA-DQA1,CD4,0.27411643,0.0,0.068526015,0.30412098366050555,4.108730074617597,0.7762108,0.8812536,0.028502762369401552,0.9356631065506493,0.4820829344600254,HLA-DQA1→CD4
B_cell,T_cell,HLA-DRB1,CD4,0.85949236,0.0,0.2942366,0.42272885908518604,-11.080506898915292,0.7537741,0.9389427,0.3069018366751841,0.732206285237994,0.5195540609565891,HLA-DRB1→CD4
B_cell,T_cell,HLA-DRB5,CD4,0.2254686,0.0,0.049768277,0.2510079042045139,2.7390178464486388,0.7663362,0.86347264,0.09330365333519197,1.0,0.5466518266675959,HLA-DRB5→CD4
B_cell,T_cell,HLA-DMB,CD4,0.24715386,0.0,0.058129724,0.30948413237745004,2.232319669655583,0.77546597,0.872371,0.1308548660204744,1.0,0.5654274330102372,HLA-DMB→CD4
B_cell,T_cell,HLA-DMA,CD4,0.24531807,0.0,0.057421878,0.2893728316194087,1.2216967958713176,0.75485605,0.87168735,0.17874049081824586,1.0,0.589370245409123,HLA-DMA→CD4
B_cell,T_cell,IL16,CD4,0.19563831,0.0,0.038266245,0.03180104812708548,0.23454635502594506,0.41070598,0.8472292,0.472349745009409,1.0,0.7361748725047045,IL16→CD4
