pair,aggregate_rank_Q4,aggregate_rank_Q1,strength_Q4,strength_Q1,delta_Q4_minus_Q1,sig_either
HLA-DPA1→CD4,0.05264183896622705,1.0,-0.05264183896622705,-1.0,0.9473581610337729,True
HLA-DPB1→CD4,0.0626210261660986,1.0,-0.0626210261660986,-1.0,0.9373789738339013,True
HLA-DRA→CD4,0.013892317463340857,0.8874777213944933,-0.013892317463340857,-0.8874777213944933,0.8735854039311525,True
HLA-DRB1→CD4,0.08513407411631196,0.8673519462197274,-0.08513407411631196,-0.8673519462197274,0.7822178721034154,True
HLA-E→CD8B,0.2623841567778875,0.9038684807751317,-0.2623841567778875,-0.9038684807751317,0.6414843239972442,True
HLA-E→CD8A,0.1834493215820568,0.795911437353548,-0.1834493215820568,-0.795911437353548,0.6124621157714911,True
HLA-A→CD8A,0.17998732307255078,0.718094960822408,-0.17998732307255078,-0.718094960822408,0.5381076377498573,True
HLA-C→CD8B,0.2470575974144315,0.7756695576361219,-0.2470575974144315,-0.7756695576361219,0.5286119602216903,True
HLA-A→CD8B,0.2883573444008265,0.8166366367599478,-0.2883573444008265,-0.8166366367599478,0.5282792923591213,True
HLA-B→CD8A,0.01223132757628564,0.5338114257906217,-0.01223132757628564,-0.5338114257906217,0.521580098214336,True
HLA-B→CD3D,0.008974675967674475,0.5298347683645509,-0.008974675967674475,-0.5298347683645509,0.5208600923968765,True
HLA-B→CD8B,0.02182657623599435,0.5380187636630771,-0.02182657623599435,-0.5380187636630771,0.5161921874270827,True
HLA-B→KLRD1,0.032499709202851224,0.542453638393017,-0.032499709202851224,-0.542453638393017,0.5099539291901658,True
HLA-C→CD8A,0.19723721988790271,0.6825887634654929,-0.19723721988790271,-0.6825887634654929,0.4853515435775902,True
HLA-E→KLRK1,0.3922927986461378,0.8481049675972993,-0.3922927986461378,-0.8481049675972993,0.45581216895116144,True
PKM→CD44,0.5864884490792734,0.9866844794444611,-0.5864884490792734,-0.9866844794444611,0.4001960303651877,True
CD48→CD2,0.5447185125883812,0.8977641590603735,-0.5447185125883812,-0.8977641590603735,0.3530456464719923,True
GNAI2→S1PR1,0.670189658113479,1.0,-0.670189658113479,-1.0,0.32981034188652103,True
HLA-F→CD8A,0.6974067845694859,0.9878820690197299,-0.6974067845694859,-0.9878820690197299,0.29047528445024395,True
GNAI2→S1PR4,0.8065419829488953,1.0,-0.8065419829488953,-1.0,0.19345801705110466,True
B2M→KLRD1,0.37784561571080194,0.5087206697128899,-0.37784561571080194,-0.5087206697128899,0.13087505400208793,True
HMGB1→CXCR4,0.7694612440665921,0.8874777213944933,-0.7694612440665921,-0.8874777213944933,0.11801647732790121,True
MIF→CD44_CD74,0.6867166084556435,0.7775445099408738,-0.6867166084556435,-0.7775445099408738,0.09082790148523023,True
HLA-DMB→CD4,0.4352416657595556,0.5160204644747102,-0.4352416657595556,-0.5160204644747102,0.08077879871515459,True
HLA-F→CD8B,0.7570057266235479,0.8251457343591149,-0.7570057266235479,-0.8251457343591149,0.06814000773556694,True
ICAM3→ITGAL,0.4996784935944726,0.5163317034087341,-0.4996784935944726,-0.5163317034087341,0.01665320981426155,True
VIM→CD44,0.8703993907823449,0.827172635244948,-0.8703993907823449,-0.827172635244948,-0.043226755537396855,True
MIF→CD74_CXCR4,0.8114940404794364,0.7172279921692508,-0.8114940404794364,-0.7172279921692508,-0.09426604831018559,True
S100A8→ITGB2,1.0,0.2695249334137628,-1.0,-0.2695249334137628,-0.7304750665862372,True
BTLA→CD247,0.5071253003668392,,-0.5071253003668392,,,True
CD55→ADGRE5,0.5342434362338341,,-0.5342434362338341,,,True
COPA→CD74,0.7172279921692508,,-0.7172279921692508,,,True
HLA-DMA→CD4,0.414329215160894,,-0.414329215160894,,,True
HLA-DOB→CD4,0.5131794891267677,,-0.5131794891267677,,,True
HLA-DQA1→CD4,0.20918422573960657,,-0.20918422573960657,,,True
HLA-DQA2→CD4,0.3699837212922275,,-0.3699837212922275,,,True
HLA-DQB1→CD4,0.393006655183,,-0.393006655183,,,True
HLA-DRB5→CD4,0.35363390138580586,,-0.35363390138580586,,,True
IL16→CD4,0.5269734943441376,,-0.5269734943441376,,,True
LGALS1→ITGB1,,0.7598905719644327,,-0.7598905719644327,,True
LGALS1→PTPRC,,0.6713674363066504,,-0.6713674363066504,,True
LGALS9→CD44,0.5758798103746248,,-0.5758798103746248,,,True
LGALS9→CD47,0.237668237879664,,-0.237668237879664,,,True
LGALS9→PTPRC,0.293025527285187,,-0.293025527285187,,,True
S100A9→ITGB2,,0.30829005490089245,,-0.30829005490089245,,True
