section,pair,aggregate_rank_Q4,aggregate_rank_Q1,strength_Q4,strength_Q1,delta_Q4_minus_Q1,sig_either,rank_delta,rank_in_all_by_delta
TOP10_Q4_MINUS_Q1,,,,,,,,,
,HLA-DPA1→CD4,0.052641838966227,1.0,-0.052641838966227,-1.0,0.9473581610337728,True,1.0,
,HLA-DPB1→CD4,0.0626210261660986,1.0,-0.0626210261660986,-1.0,0.9373789738339012,True,2.0,
,HLA-DRA→CD4,0.0138923174633408,0.8874777213944933,-0.0138923174633408,-0.8874777213944933,0.8735854039311525,True,3.0,
,HLA-DRB1→CD4,0.0851340741163119,0.8673519462197274,-0.0851340741163119,-0.8673519462197274,0.7822178721034154,True,4.0,
,HLA-E→CD8B,0.2623841567778875,0.9038684807751316,-0.2623841567778875,-0.9038684807751316,0.6414843239972442,True,5.0,
,HLA-E→CD8A,0.1834493215820568,0.795911437353548,-0.1834493215820568,-0.795911437353548,0.6124621157714911,True,6.0,
,HLA-A→CD8A,0.1799873230725507,0.718094960822408,-0.1799873230725507,-0.718094960822408,0.5381076377498573,True,7.0,
,HLA-C→CD8B,0.2470575974144315,0.7756695576361219,-0.2470575974144315,-0.7756695576361219,0.5286119602216903,True,8.0,
,HLA-A→CD8B,0.2883573444008265,0.8166366367599478,-0.2883573444008265,-0.8166366367599478,0.5282792923591213,True,9.0,
,HLA-B→CD8A,0.0122313275762856,0.5338114257906217,-0.0122313275762856,-0.5338114257906217,0.521580098214336,True,10.0,
COMPETING_PAIRS,,,,,,,,,
